,Date,Open,High,Low,Close
0,2011-05-06,1.09,1.09,1.09,1.09
1,2011-05-09,1.1,1.1,1.1,1.1
2,2011-05-10,1.11,1.11,1.11,1.11
3,2011-05-11,1.11,1.11,1.11,1.11
4,2011-05-12,1.11,1.11,1.11,1.11
5,2011-05-13,1.13,1.13,1.13,1.13
6,2011-05-16,1.12,1.12,1.12,1.12
7,2011-05-17,1.12,1.12,1.12,1.12
8,2011-05-18,1.12,1.12,1.12,1.12
9,2011-05-19,1.13,1.13,1.13,1.13
10,2011-05-20,1.13,1.13,1.13,1.13
11,2011-05-23,1.12,1.12,1.12,1.12
12,2011-05-24,1.12,1.12,1.12,1.12
13,2011-05-25,1.11,1.11,1.11,1.11
14,2011-05-26,1.11,1.11,1.11,1.11
15,2011-05-27,1.11,1.11,1.11,1.11
16,2011-05-30,1.11,1.11,1.11,1.11
17,2011-05-31,1.12,1.12,1.12,1.12
18,2011-06-01,1.13,1.13,1.13,1.13
19,2011-06-02,1.12,1.12,1.12,1.12
20,2011-06-03,1.11,1.11,1.11,1.11
21,2011-06-06,1.1,1.1,1.1,1.1
22,2011-06-07,1.1,1.1,1.1,1.1
23,2011-06-08,1.1,1.1,1.1,1.1
24,2011-06-09,1.09,1.09,1.09,1.09
25,2011-06-10,1.1,1.1,1.1,1.1
26,2011-06-13,1.09,1.09,1.09,1.09
27,2011-06-14,1.09,1.09,1.09,1.09
28,2011-06-15,1.1,1.1,1.1,1.1
29,2011-06-16,1.09,1.09,1.09,1.09
30,2011-06-17,1.09,1.09,1.09,1.09
31,2011-06-20,1.09,1.09,1.09,1.09
32,2011-06-21,1.1,1.1,1.1,1.1
33,2011-06-22,1.11,1.11,1.11,1.11
34,2011-06-23,1.11,1.11,1.11,1.11
35,2011-06-24,1.1,1.1,1.1,1.1
36,2011-06-27,1.1,1.1,1.1,1.1
37,2011-06-28,1.11,1.11,1.11,1.11
38,2011-06-29,1.12,1.12,1.12,1.12
39,2011-06-30,1.12,1.12,1.12,1.12
40,2011-07-01,1.13,1.13,1.13,1.13
41,2011-07-04,1.13,1.13,1.13,1.13
42,2011-07-05,1.14,1.14,1.14,1.14
43,2011-07-06,1.14,1.14,1.14,1.14
44,2011-07-07,1.15,1.15,1.15,1.15
45,2011-07-08,1.15,1.15,1.15,1.15
46,2011-07-11,1.15,1.15,1.15,1.15
47,2011-07-12,1.14,1.14,1.14,1.14
48,2011-07-13,1.14,1.14,1.14,1.14
49,2011-07-14,1.13,1.13,1.13,1.13
50,2011-07-15,1.12,1.12,1.12,1.12
51,2011-07-18,1.12,1.12,1.12,1.12
52,2011-07-19,1.11,1.11,1.11,1.11
53,2011-07-20,1.12,1.12,1.12,1.12
54,2011-07-21,1.12,1.12,1.12,1.12
55,2011-07-22,1.12,1.12,1.12,1.12
